Info    : Reading '../results/t13/domain.msh'...
Info    : 17 entities
Info    : 46707 nodes
Info    : Reading '../results/t13/domain.msh'...
Info    : 17 entities
Info    : 46707 nodes
Info    : 92692 elements
Info    : 92692 elements
Info    : Done reading '../results/t13/domain.msh'
Info    : Done reading '../results/t13/domain.msh'

	Heat conduction with two sinks (multiple) - Task Parallelism

> Path = ../results/t13
> Nbr of triangles = 92612
> Iterations:
i =   0 | cost = 1.8396 | cstr = 1.3151 | nder = 5.6962 | steps =  0 | lagr = 1.8396 | lm = 0.0000 | mu = 0.0000
i = 135 | cost = 1.4124 | cstr = 1.0693 | nder = 1.0681 | steps = 13 | lagr = 3.6256 | lm = 2.0743 | mu = 1.9359
i = 136 | cost = 1.4105 | cstr = 1.0685 | nder = 1.0542 | steps = 14 | lagr = 3.6840 | lm = 2.1321 | mu = 1.9953
i = 137 | cost = 1.4080 | cstr = 1.0693 | nder = 1.0628 | steps = 12 | lagr = 3.7475 | lm = 2.1923 | mu = 2.0539
i = 138 | cost = 1.4115 | cstr = 1.0679 | nder = 1.1397 | steps = 13 | lagr = 3.8084 | lm = 2.2488 | mu = 2.1131
i = 139 | cost = 1.4029 | cstr = 1.0676 | nder = 1.0072 | steps = 14 | lagr = 3.8603 | lm = 2.3061 | mu = 2.1711
i = 140 | cost = 1.4071 | cstr = 1.0648 | nder = 1.0636 | steps = 14 | lagr = 3.9140 | lm = 2.3583 | mu = 2.2288
i = 141 | cost = 1.4070 | cstr = 1.0634 | nder = 1.0549 | steps = 13 | lagr = 3.9664 | lm = 2.4107 | mu = 2.2842
i = 142 | cost = 1.4149 | cstr = 1.0600 | nder = 1.1150 | steps = 13 | lagr = 4.0171 | lm = 2.4582 | mu = 2.3383
i = 143 | cost = 1.4223 | cstr = 1.0562 | nder = 1.2480 | steps = 14 | lagr = 4.0618 | lm = 2.5019 | mu = 2.3895
i = 144 | cost = 1.4137 | cstr = 1.0538 | nder = 1.0642 | steps = 13 | lagr = 4.0929 | lm = 2.5451 | mu = 2.4376
