Info    : Reading '../results/t10/domain.msh'...
Info    : 9 entities
Info    : 72857 nodes
Info    : 145712 elements
Info    : [  0%] Reading elements                                                                                Info    : [ 10%] Reading elements                                                                                Info    : [ 20%] Reading elements                                                                                Info    : [ 30%] Reading elements                                                                                Info    : [ 40%] Reading elements                                                                                Info    : [ 50%] Reading elements                                                                                Info    : [ 60%] Reading elements                                                                                Info    : [ 70%] Reading elements                                                                                Info    : [ 80%] Reading elements                                                                                Info    : [ 90%] Reading elements                                                                                                                                                                Info    : Done reading '../results/t10/domain.msh'

	Heat conduction 2 - Data Parallelism

> Path = ../results/t10
> Nbr of triangles = 144712
> Iterations:
i =   0 | cost = 0.1025 | cstr = 1.3405 | nder = 0.2571 | steps =  0 | lagr = 0.1025 | lm = 0.0000 | mu = 0.0000
i =  80 | cost = 0.1272 | cstr = 0.9952 | nder = 0.1208 | steps = 16 | lagr = 0.1254 | lm = 0.3753 | mu = 0.3848
i =  81 | cost = 0.1262 | cstr = 0.9944 | nder = 0.1175 | steps = 16 | lagr = 0.1241 | lm = 0.3692 | mu = 0.3804
i =  82 | cost = 0.1250 | cstr = 0.9939 | nder = 0.1156 | steps = 16 | lagr = 0.1227 | lm = 0.3630 | mu = 0.3752
i =  83 | cost = 0.1245 | cstr = 0.9934 | nder = 0.1157 | steps = 16 | lagr = 0.1221 | lm = 0.3564 | mu = 0.3696
i =  84 | cost = 0.1237 | cstr = 0.9931 | nder = 0.1149 | steps = 16 | lagr = 0.1213 | lm = 0.3497 | mu = 0.3636
i =  85 | cost = 0.1223 | cstr = 0.9931 | nder = 0.1128 | steps = 15 | lagr = 0.1199 | lm = 0.3434 | mu = 0.3572
i =  86 | cost = 0.1214 | cstr = 0.9931 | nder = 0.1124 | steps = 16 | lagr = 0.1191 | lm = 0.3371 | mu = 0.3509
i =  87 | cost = 0.1203 | cstr = 0.9935 | nder = 0.1106 | steps = 16 | lagr = 0.1181 | lm = 0.3315 | mu = 0.3446
i =  88 | cost = 0.1197 | cstr = 0.9935 | nder = 0.1115 | steps = 16 | lagr = 0.1176 | lm = 0.3257 | mu = 0.3386
i =  89 | cost = 0.1193 | cstr = 0.9939 | nder = 0.1150 | steps = 16 | lagr = 0.1173 | lm = 0.3204 | mu = 0.3327
i =  90 | cost = 0.1174 | cstr = 0.9949 | nder = 0.1066 | steps = 16 | lagr = 0.1157 | lm = 0.3169 | mu = 0.3271
i =  91 | cost = 0.1169 | cstr = 0.9947 | nder = 0.1076 | steps = 16 | lagr = 0.1153 | lm = 0.3119 | mu = 0.3224
i =  92 | cost = 0.1161 | cstr = 0.9955 | nder = 0.1057 | steps = 16 | lagr = 0.1147 | lm = 0.3086 | mu = 0.3176
i =  93 | cost = 0.1152 | cstr = 0.9957 | nder = 0.1043 | steps = 16 | lagr = 0.1138 | lm = 0.3050 | mu = 0.3135
i =  94 | cost = 0.1144 | cstr = 0.9964 | nder = 0.1032 | steps = 15 | lagr = 0.1133 | lm = 0.3024 | mu = 0.3096
i =  95 | cost = 0.1144 | cstr = 0.9969 | nder = 0.1095 | steps = 16 | lagr = 0.1135 | lm = 0.3002 | mu = 0.3063
i =  96 | cost = 0.1140 | cstr = 0.9977 | nder = 0.1111 | steps = 16 | lagr = 0.1133 | lm = 0.2989 | mu = 0.3035
i =  97 | cost = 0.1127 | cstr = 0.9980 | nder = 0.1049 | steps = 16 | lagr = 0.1121 | lm = 0.2975 | mu = 0.3014
