Info    : Reading '../results/t09/domain.msh'...
Info    : 13 entities
Info    : 46692 nodes
Info    : 92622 elements
Info    : Done reading '../results/t09/domain.msh'

	Heat conduction 1 - Data Parallelism

> Path = ../results/t09
> Nbr of triangles = 92582
> Iterations:
i = 115 | cost = 2.9723 | cstr = 0.8720 | nder = 3.2534 | steps = 12 | lagr = 2.8351 | lm = 0.9434 | mu = 1.1992
i = 116 | cost = 2.9495 | cstr = 0.8840 | nder = 3.3227 | steps = 11 | lagr = 2.8363 | lm = 0.8605 | mu = 1.0922
i = 117 | cost = 2.9289 | cstr = 0.8965 | nder = 3.3856 | steps = 12 | lagr = 2.8367 | lm = 0.7875 | mu = 0.9943
i = 118 | cost = 2.8711 | cstr = 0.9093 | nder = 3.3105 | steps = 13 | lagr = 2.7971 | lm = 0.7249 | mu = 0.9061
i = 119 | cost = 2.8407 | cstr = 0.9224 | nder = 3.3172 | steps = 11 | lagr = 2.7825 | lm = 0.6732 | mu = 0.8281
i = 120 | cost = 2.8186 | cstr = 0.9363 | nder = 3.3339 | steps = 12 | lagr = 2.7742 | lm = 0.6336 | mu = 0.7610
i = 121 | cost = 2.7863 | cstr = 0.9490 | nder = 3.3101 | steps = 13 | lagr = 2.7530 | lm = 0.6035 | mu = 0.7054
i = 122 | cost = 2.7434 | cstr = 0.9628 | nder = 3.2253 | steps = 12 | lagr = 2.7202 | lm = 0.5865 | mu = 0.6607
i = 123 | cost = 2.7087 | cstr = 0.9768 | nder = 3.1490 | steps = 12 | lagr = 2.6947 | lm = 0.5817 | mu = 0.6281
i = 124 | cost = 2.6660 | cstr = 0.9915 | nder = 3.0501 | steps = 12 | lagr = 2.6609 | lm = 0.5905 | mu = 0.6076
i = 125 | cost = 2.6314 | cstr = 1.0041 | nder = 2.9585 | steps = 12 | lagr = 2.6339 | lm = 0.6083 | mu = 0.6001
i = 126 | cost = 2.6058 | cstr = 1.0181 | nder = 2.8634 | steps = 13 | lagr = 2.6170 | lm = 0.6399 | mu = 0.6037
i = 127 | cost = 2.5599 | cstr = 1.0326 | nder = 2.6737 | steps = 13 | lagr = 2.5812 | lm = 0.6847 | mu = 0.6196
i = 128 | cost = 2.5311 | cstr = 1.0438 | nder = 2.5337 | steps = 13 | lagr = 2.5614 | lm = 0.7356 | mu = 0.6481
i = 129 | cost = 2.4923 | cstr = 1.0579 | nder = 2.3526 | steps = 13 | lagr = 2.5354 | lm = 0.8021 | mu = 0.6863
i = 130 | cost = 2.4472 | cstr = 1.0734 | nder = 2.1402 | steps = 12 | lagr = 2.5066 | lm = 0.8832 | mu = 0.7365
i = 131 | cost = 2.4242 | cstr = 1.0862 | nder = 1.9754 | steps = 12 | lagr = 2.5006 | lm = 0.9717 | mu = 0.7995
i = 132 | cost = 2.4029 | cstr = 1.0979 | nder = 1.8175 | steps = 13 | lagr = 2.4979 | lm = 1.0684 | mu = 0.8729
i = 133 | cost = 2.3771 | cstr = 1.1102 | nder = 1.6308 | steps = 13 | lagr = 2.4945 | lm = 1.1756 | mu = 0.9554
i = 134 | cost = 2.3530 | cstr = 1.1211 | nder = 1.4804 | steps = 12 | lagr = 2.4944 | lm = 1.2892 | mu = 1.0473
i = 135 | cost = 2.3282 | cstr = 1.1315 | nder = 1.3524 | steps = 13 | lagr = 2.4964 | lm = 1.4101 | mu = 1.1472
i = 136 | cost = 2.3074 | cstr = 1.1396 | nder = 1.2285 | steps = 13 | lagr = 2.5019 | lm = 1.5335 | mu = 1.2546
i = 137 | cost = 2.2912 | cstr = 1.1444 | nder = 1.1350 | steps = 12 | lagr = 2.5095 | lm = 1.6561 | mu = 1.3675
i = 138 | cost = 2.2832 | cstr = 1.1465 | nder = 1.1237 | steps = 13 | lagr = 2.5221 | lm = 1.7764 | mu = 1.4837
i = 139 | cost = 2.2792 | cstr = 1.1458 | nder = 1.1441 | steps = 13 | lagr = 2.5339 | lm = 1.8924 | mu = 1.6011
i = 140 | cost = 2.2728 | cstr = 1.1427 | nder = 1.1758 | steps = 14 | lagr = 2.5383 | lm = 2.0030 | mu = 1.7179
i = 141 | cost = 2.2873 | cstr = 1.1368 | nder = 1.2400 | steps = 13 | lagr = 2.5567 | lm = 2.1058 | mu = 1.8325
i = 142 | cost = 2.2815 | cstr = 1.1289 | nder = 1.2964 | steps = 13 | lagr = 2.5487 | lm = 2.2006 | mu = 1.9429
i = 143 | cost = 2.2976 | cstr = 1.1216 | nder = 1.3701 | steps = 14 | lagr = 2.5615 | lm = 2.2908 | mu = 2.0477
i = 144 | cost = 2.3073 | cstr = 1.1099 | nder = 1.4273 | steps = 13 | lagr = 2.5553 | lm = 2.3668 | mu = 2.1472
i = 145 | cost = 2.3240 | cstr = 1.1012 | nder = 1.4931 | steps = 12 | lagr = 2.5606 | lm = 2.4400 | mu = 2.2379
i = 146 | cost = 2.3361 | cstr = 1.0911 | nder = 1.5271 | steps = 13 | lagr = 2.5558 | lm = 2.5038 | mu = 2.3218
i = 147 | cost = 2.3553 | cstr = 1.0795 | nder = 1.5476 | steps = 14 | lagr = 2.5522 | lm = 2.5568 | mu = 2.3979
i = 148 | cost = 2.3798 | cstr = 1.0678 | nder = 1.5550 | steps = 12 | lagr = 2.5514 | lm = 2.6002 | mu = 2.4648
i = 149 | cost = 2.3894 | cstr = 1.0578 | nder = 1.5745 | steps = 13 | lagr = 2.5384 | lm = 2.6375 | mu = 2.5221
i = 150 | cost = 2.4065 | cstr = 1.0466 | nder = 1.5672 | steps = 14 | lagr = 2.5284 | lm = 2.6643 | mu = 2.5712
i = 151 | cost = 2.4209 | cstr = 1.0320 | nder = 1.5370 | steps = 13 | lagr = 2.5056 | lm = 2.6749 | mu = 2.6109
i = 152 | cost = 2.4439 | cstr = 1.0220 | nder = 1.4996 | steps = 14 | lagr = 2.5024 | lm = 2.6823 | mu = 2.6383
i = 153 | cost = 2.4576 | cstr = 1.0125 | nder = 1.4803 | steps = 14 | lagr = 2.4910 | lm = 2.6821 | mu = 2.6571
i = 154 | cost = 2.4723 | cstr = 1.0027 | nder = 1.4303 | steps = 12 | lagr = 2.4795 | lm = 2.6733 | mu = 2.6679
i = 155 | cost = 2.4964 | cstr = 0.9913 | nder = 1.4437 | steps = 14 | lagr = 2.4732 | lm = 2.6528 | mu = 2.6702
i = 156 | cost = 2.4925 | cstr = 0.9842 | nder = 1.3552 | steps = 14 | lagr = 2.4506 | lm = 2.6312 | mu = 2.6628
i = 157 | cost = 2.5067 | cstr = 0.9747 | nder = 1.3108 | steps = 13 | lagr = 2.4402 | lm = 2.5986 | mu = 2.6493
i = 158 | cost = 2.5110 | cstr = 0.9682 | nder = 1.2748 | steps = 13 | lagr = 2.4283 | lm = 2.5641 | mu = 2.6277
i = 159 | cost = 2.5235 | cstr = 0.9601 | nder = 1.2269 | steps = 13 | lagr = 2.4214 | lm = 2.5210 | mu = 2.6006
i = 160 | cost = 2.5200 | cstr = 0.9541 | nder = 1.1826 | steps = 14 | lagr = 2.4043 | lm = 2.4752 | mu = 2.5669
i = 161 | cost = 2.5242 | cstr = 0.9504 | nder = 1.1637 | steps = 15 | lagr = 2.4012 | lm = 2.4290 | mu = 2.5281
i = 162 | cost = 2.5457 | cstr = 0.9473 | nder = 1.2480 | steps = 14 | lagr = 2.4175 | lm = 2.3811 | mu = 2.4863
i = 163 | cost = 2.5374 | cstr = 0.9436 | nder = 1.1585 | steps = 13 | lagr = 2.4029 | lm = 2.3294 | mu = 2.4421
i = 164 | cost = 2.5542 | cstr = 0.9436 | nder = 1.2677 | steps = 13 | lagr = 2.4224 | lm = 2.2822 | mu = 2.3948
i = 165 | cost = 2.5333 | cstr = 0.9465 | nder = 1.2258 | steps = 12 | lagr = 2.4106 | lm = 2.2408 | mu = 2.3476
