Info    : Reading '../results/phiFEM/t01/domain.msh'...
Info    : 9 entities
Info    : 11831 nodes
Info    : 23660 elements
Info    : Done reading '../results/phiFEM/t01/domain.msh'
> Nbr of triangles = 23260
> Iterations:
i =   0 | cost = -0.5619 | cstr = 1.1832 | nder = 0.3314 | steps =  0 | lagr = -0.5619 | lm = 0.0000 | mu = 0.0000 | 
i = 126 | cost = -0.6547 | cstr = 1.0264 | nder = 0.0632 | steps = 16 | lagr = -0.6276 | lm = 1.0544 | mu = 1.0016 | 
i = 127 | cost = -0.6543 | cstr = 1.0261 | nder = 0.0603 | steps = 16 | lagr = -0.6269 | lm = 1.0769 | mu = 1.0248 | 
i = 128 | cost = -0.6532 | cstr = 1.0249 | nder = 0.0577 | steps = 16 | lagr = -0.6266 | lm = 1.0973 | mu = 1.0477 | 
i = 129 | cost = -0.6531 | cstr = 1.0249 | nder = 0.0543 | steps = 16 | lagr = -0.6259 | lm = 1.1191 | mu = 1.0695 | 
i = 130 | cost = -0.6506 | cstr = 1.0229 | nder = 0.0529 | steps = 16 | lagr = -0.6251 | lm = 1.1371 | mu = 1.0913 | 
i = 131 | cost = -0.6475 | cstr = 1.0204 | nder = 0.0515 | steps = 15 | lagr = -0.6245 | lm = 1.1520 | mu = 1.1113 | 
i = 132 | cost = -0.6435 | cstr = 1.0171 | nder = 0.0510 | steps = 16 | lagr = -0.6239 | lm = 1.1632 | mu = 1.1291 | 
i = 133 | cost = -0.6406 | cstr = 1.0148 | nder = 0.0502 | steps = 16 | lagr = -0.6235 | lm = 1.1736 | mu = 1.1441 | 
i = 134 | cost = -0.6358 | cstr = 1.0110 | nder = 0.0502 | steps = 15 | lagr = -0.6230 | lm = 1.1790 | mu = 1.1570 | 
i = 135 | cost = -0.6305 | cstr = 1.0068 | nder = 0.0494 | steps = 16 | lagr = -0.6224 | lm = 1.1803 | mu = 1.1666 | 
i = 136 | cost = -0.6252 | cstr = 1.0025 | nder = 0.0477 | steps = 16 | lagr = -0.6222 | lm = 1.1776 | mu = 1.1726 | 
i = 137 | cost = -0.6220 | cstr = 0.9999 | nder = 0.0461 | steps = 15 | lagr = -0.6221 | lm = 1.1746 | mu = 1.1748 | 
> Stopping condition reached!
> Assembly time = 5.876368590999846 s
> Resolution time = 472.3733138140001 s
